0	premise_first	0.47
0	premise_last	0.51
0	conclusion_first	0.45
0	conclusion_last	0.52
0	last	0.44
5	premise_first	0.52
5	premise_last	0.48
5	conclusion_first	0.55
5	conclusion_last	0.62
5	last	0.46
10	premise_first	0.45
10	premise_last	0.48
10	conclusion_first	0.58
10	conclusion_last	0.76
10	last	0.52
15	premise_first	0.48
15	premise_last	0.47
15	conclusion_first	0.46
15	conclusion_last	0.49
15	last	0.83
20	premise_first	0.45
20	premise_last	0.44
20	conclusion_first	0.46
20	conclusion_last	0.45
20	last	0.77
25	premise_first	0.46
25	premise_last	0.44
25	conclusion_first	0.47
25	conclusion_last	0.44
25	last	0.73
31	premise_first	0.44
31	premise_last	0.44
31	conclusion_first	0.44
31	conclusion_last	0.44
31	last	0.73
