anchor,hyponym,class
home decor,birdbath,taxonomic_low_sim
insect,fly,taxonomic_low_sim
fruit,banana,taxonomic_low_sim
plant,leek,taxonomic_high_sim
animal,skunk,taxonomic_high_sim
toiletry,razor,taxonomic_low_sim
food,quesadilla,taxonomic_high_sim
vehicle,school bus,taxonomic_low_sim
mammal,porcupine,taxonomic_high_sim
food,pear,taxonomic_low_sim
toiletry,toothpaste,taxonomic_high_sim
outerwear,scarf,taxonomic_low_sim
tool,stamp,taxonomic_low_sim
fruit,melon,taxonomic_low_sim
women's clothing,pantsuit,taxonomic_high_sim
tool,blowtorch,taxonomic_low_sim
outerwear,apron,taxonomic_low_sim
electronic device,radio,taxonomic_high_sim
food,garlic,taxonomic_low_sim
tool,sweeper,taxonomic_low_sim
fruit,mulberry,taxonomic_low_sim
school supply,paperclip,taxonomic_high_sim
candy,candy,taxonomic_high_sim
weapon,dart,taxonomic_high_sim
electronic device,camcorder,taxonomic_low_sim
furniture,footrest,taxonomic_high_sim
vehicle,humvee,taxonomic_high_sim
home decor,bonsai,taxonomic_low_sim
plant,fern,taxonomic_high_sim
toy,boomerang,taxonomic_low_sim
tool,trident,taxonomic_low_sim
plant,plant,taxonomic_high_sim
toy,scooter,taxonomic_low_sim
food,cream cheese,taxonomic_low_sim
school supply,highlighter,taxonomic_high_sim
container,tank,taxonomic_high_sim
tool,sawhorse,taxonomic_low_sim
food,soy sauce,taxonomic_low_sim
container,cabinet,taxonomic_high_sim
home decor,crystal ball,taxonomic_low_sim
animal,hedgehog,taxonomic_low_sim
candy,licorice,taxonomic_high_sim
vehicle,space shuttle,taxonomic_low_sim
toy,stilt,taxonomic_low_sim
animal,stingray,taxonomic_low_sim
animal,mole,taxonomic_high_sim
container,wine bottle,taxonomic_low_sim
container,dresser,taxonomic_low_sim
container,aquarium,taxonomic_high_sim
seafood,fish,taxonomic_high_sim
kitchen tool,grater,taxonomic_high_sim
musical instrument,flute,taxonomic_low_sim
home decor,cuckoo clock,taxonomic_low_sim
plant,tumbleweed,taxonomic_low_sim
clothing,bulletproof vest,taxonomic_low_sim
breakfast,pastry,taxonomic_high_sim
tool,air pump,taxonomic_low_sim
headwear,bonnet,taxonomic_low_sim
food,mushroom,taxonomic_high_sim
medical equipment,brace,taxonomic_low_sim
toy,crayon,taxonomic_low_sim
accessory,bow,taxonomic_high_sim
tool,chain,taxonomic_high_sim
weapon,chainsaw,taxonomic_low_sim
plant,bamboo,taxonomic_low_sim
headwear,headscarf,taxonomic_high_sim
fruit,mango,taxonomic_high_sim
condiment,butter,taxonomic_low_sim
vehicle,police car,taxonomic_high_sim
medical equipment,vial,taxonomic_high_sim
