hypernym,hypernym-sense,anchor,anchor-sense,hyponym
organism,organism.n.01,animal,animal.n.01,aardvark
organism,organism.n.01,animal,animal.n.01,alligator
organism,organism.n.01,animal,animal.n.01,alpaca
organism,organism.n.01,animal,animal.n.01,ant
organism,organism.n.01,animal,animal.n.01,anteater
organism,organism.n.01,animal,animal.n.01,antelope
organism,organism.n.01,animal,animal.n.01,badger
organism,organism.n.01,animal,animal.n.01,barnacle
organism,organism.n.01,animal,animal.n.01,bat
organism,organism.n.01,animal,animal.n.01,bear
organism,organism.n.01,animal,animal.n.01,beaver
organism,organism.n.01,animal,animal.n.01,bee
organism,organism.n.01,animal,animal.n.01,beetle
organism,organism.n.01,animal,animal.n.01,bird
organism,organism.n.01,animal,animal.n.01,bison
organism,organism.n.01,animal,animal.n.01,blowfish
organism,organism.n.01,animal,animal.n.01,boar
organism,organism.n.01,animal,animal.n.01,bug
organism,organism.n.01,animal,animal.n.01,bull
organism,organism.n.01,animal,animal.n.01,butterfly
organism,organism.n.01,animal,animal.n.01,calf
organism,organism.n.01,animal,animal.n.01,camel
organism,organism.n.01,animal,animal.n.01,cardinal
organism,organism.n.01,animal,animal.n.01,cat
organism,organism.n.01,animal,animal.n.01,caterpillar
organism,organism.n.01,animal,animal.n.01,catfish
organism,organism.n.01,animal,animal.n.01,cheetah
organism,organism.n.01,animal,animal.n.01,chick
organism,organism.n.01,animal,animal.n.01,chicken
organism,organism.n.01,animal,animal.n.01,chihuahua
organism,organism.n.01,animal,animal.n.01,chinchilla
organism,organism.n.01,animal,animal.n.01,chipmunk
organism,organism.n.01,animal,animal.n.01,clam
organism,organism.n.01,animal,animal.n.01,cobra
organism,organism.n.01,animal,animal.n.01,cockatoo
organism,organism.n.01,animal,animal.n.01,cockroach
organism,organism.n.01,animal,animal.n.01,coral
organism,organism.n.01,animal,animal.n.01,cougar
organism,organism.n.01,animal,animal.n.01,cow
organism,organism.n.01,animal,animal.n.01,coyote
organism,organism.n.01,animal,animal.n.01,crab
organism,organism.n.01,animal,animal.n.01,crayfish
organism,organism.n.01,animal,animal.n.01,crow
organism,organism.n.01,animal,animal.n.01,dalmatian
organism,organism.n.01,animal,animal.n.01,deer
organism,organism.n.01,animal,animal.n.01,dog
organism,organism.n.01,animal,animal.n.01,dolphin
organism,organism.n.01,animal,animal.n.01,donkey
organism,organism.n.01,animal,animal.n.01,dragonfly
organism,organism.n.01,animal,animal.n.01,duck
organism,organism.n.01,animal,animal.n.01,duckling
organism,organism.n.01,animal,animal.n.01,eagle
organism,organism.n.01,animal,animal.n.01,earwig
organism,organism.n.01,animal,animal.n.01,eel
organism,organism.n.01,animal,animal.n.01,elephant
organism,organism.n.01,animal,animal.n.01,ferret
organism,organism.n.01,animal,animal.n.01,fish
organism,organism.n.01,animal,animal.n.01,flamingo
organism,organism.n.01,animal,animal.n.01,fly
organism,organism.n.01,animal,animal.n.01,fox
organism,organism.n.01,animal,animal.n.01,frog
organism,organism.n.01,animal,animal.n.01,gazelle
organism,organism.n.01,animal,animal.n.01,giraffe
organism,organism.n.01,animal,animal.n.01,goat
organism,organism.n.01,animal,animal.n.01,goldfish
organism,organism.n.01,animal,animal.n.01,goose
organism,organism.n.01,animal,animal.n.01,gopher
organism,organism.n.01,animal,animal.n.01,gorilla
