0	premise_first	0.51
0	premise_last	0.51
0	conclusion_first	0.52
0	conclusion_last	0.51
0	last	0.53
5	premise_first	0.51
5	premise_last	0.5
5	conclusion_first	0.51
5	conclusion_last	0.54
5	last	0.52
10	premise_first	0.5
10	premise_last	0.53
10	conclusion_first	0.5
10	conclusion_last	0.68
10	last	0.53
15	premise_first	0.53
15	premise_last	0.51
15	conclusion_first	0.56
15	conclusion_last	0.61
15	last	0.77
20	premise_first	0.51
20	premise_last	0.52
20	conclusion_first	0.53
20	conclusion_last	0.57
20	last	0.76
25	premise_first	0.51
25	premise_last	0.52
25	conclusion_first	0.53
25	conclusion_last	0.56
25	last	0.74
31	premise_first	0.53
31	premise_last	0.53
31	conclusion_first	0.53
31	conclusion_last	0.53
31	last	0.7
