hyponym,hypernym,prefix,stimulus,hypernymy
birdbath,home decor,birdbaths are a type of,home decor,True
fly,home decor,flies are a type of,home decor,False
banana,home decor,bananas are a type of,home decor,False
leek,home decor,leeks are a type of,home decor,False
skunk,home decor,skunks are a type of,home decor,False
razor,home decor,razors are a type of,home decor,False
quesadilla,home decor,quesadillas are a type of,home decor,False
school bus,home decor,school buses are a type of,home decor,False
porcupine,home decor,porcupines are a type of,home decor,False
pear,home decor,pears are a type of,home decor,False
toothpaste,home decor,toothpaste is a type of,home decor,False
scarf,home decor,scarves are a type of,home decor,False
stamp,home decor,stamps are a type of,home decor,False
melon,home decor,melons are a type of,home decor,False
pantsuit,home decor,pantsuits are a type of,home decor,False
blowtorch,home decor,blowtorches are a type of,home decor,False
apron,home decor,aprons are a type of,home decor,False
radio,home decor,radios are a type of,home decor,False
garlic,home decor,a garlic is a type of,home decor,False
sweeper,home decor,sweepers are a type of,home decor,False
mulberry,home decor,mulberries are a type of,home decor,False
paperclip,home decor,paperclips are a type of,home decor,False
candy,home decor,candy is a type of,home decor,False
dart,home decor,darts are a type of,home decor,False
camcorder,home decor,camcorders are a type of,home decor,False
footrest,home decor,footrests are a type of,home decor,False
humvee,home decor,humvees are a type of,home decor,False
bonsai,home decor,bonsai are a type of,home decor,True
fern,home decor,ferns are a type of,home decor,False
boomerang,home decor,boomerangs are a type of,home decor,False
trident,home decor,tridents are a type of,home decor,False
plant,home decor,plants are a type of,home decor,False
scooter,home decor,scooters are a type of,home decor,False
cream cheese,home decor,cream cheese is a type of,home decor,False
highlighter,home decor,highlighters are a type of,home decor,False
tank,home decor,tanks are a type of,home decor,False
sawhorse,home decor,sawhorses are a type of,home decor,False
soy sauce,home decor,soy sauce is a type of,home decor,False
cabinet,home decor,cabinets are a type of,home decor,False
crystal ball,home decor,crystal balls are a type of,home decor,True
hedgehog,home decor,hedgehogs are a type of,home decor,False
licorice,home decor,licorice is a type of,home decor,False
space shuttle,home decor,space shuttles are a type of,home decor,False
stilt,home decor,stilts are a type of,home decor,False
stingray,home decor,stingrays are a type of,home decor,False
mole,home decor,moles are a type of,home decor,False
wine bottle,home decor,wine bottles are a type of,home decor,False
dresser,home decor,dressers are a type of,home decor,False
aquarium,home decor,aquariums are a type of,home decor,True
fish,home decor,fish are a type of,home decor,False
grater,home decor,graters are a type of,home decor,False
flute,home decor,flutes are a type of,home decor,False
cuckoo clock,home decor,cuckoo clocks are a type of,home decor,True
tumbleweed,home decor,tumbleweeds are a type of,home decor,False
bulletproof vest,home decor,bulletproof vests are a type of,home decor,False
pastry,home decor,pastries are a type of,home decor,False
air pump,home decor,air pumps are a type of,home decor,False
bonnet,home decor,bonnets are a type of,home decor,False
mushroom,home decor,mushrooms are a type of,home decor,False
brace,home decor,braces are a type of,home decor,False
crayon,home decor,crayons are a type of,home decor,False
bow,home decor,a bow is a type of,home decor,False
chain,home decor,chains are a type of,home decor,False
chainsaw,home decor,chainsaws are a type of,home decor,False
bamboo,home decor,bamboos are a type of,home decor,False
headscarf,home decor,headscarves are a type of,home decor,False
mango,home decor,mangoes are a type of,home decor,False
butter,home decor,butter is a type of,home decor,False
police car,home decor,police cars are a type of,home decor,False
vial,home decor,vials are a type of,home decor,False
orchid,home decor,orchids are a type of,home decor,False
jalapeno,home decor,jalapenoes are a type of,home decor,False
rhinoceros,home decor,rhinos are a type of,home decor,False
duck,home decor,ducks are a type of,home decor,False
jewelry,home decor,jewelry is a type of,home decor,False
croissant,home decor,croissants are a type of,home decor,False
waffle,home decor,waffles are a type of,home decor,False
coffeemaker,home decor,coffeemakers are a type of,home decor,False
rollerblade,home decor,rollerblades are a type of,home decor,False
shirt,home decor,shirts are a type of,home decor,False
bell pepper,home decor,bell peppers are a type of,home decor,False
pocket watch,home decor,pocket watches are a type of,home decor,False
cow,home decor,cows are a type of,home decor,False
chive,home decor,chives are a type of,home decor,False
knife,home decor,knives are a type of,home decor,False
cornbread,home decor,cornbread is a type of,home decor,False
duffel bag,home decor,duffel bags are a type of,home decor,False
tool,home decor,tools are a type of,home decor,False
plaster cast,home decor,plaster casts are a type of,home decor,False
bottle opener,home decor,bottle openers are a type of,home decor,False
vise,home decor,a vise is a type of,home decor,False
cloak,home decor,cloaks are a type of,home decor,False
velcro,home decor,velcros are a type of,home decor,False
beaver,home decor,beavers are a type of,home decor,False
shelf,home decor,shelves are a type of,home decor,False
curling iron,home decor,curling irons are a type of,home decor,False
headband,home decor,headbands are a type of,home decor,False
cat,home decor,cats are a type of,home decor,False
pen,home decor,pens are a type of,home decor,False
yogurt,home decor,yogurts are a type of,home decor,False
whisk,home decor,whisks are a type of,home decor,False
shrimp,home decor,shrimps are a type of,home decor,False
spark plug,home decor,spark plugs are a type of,home decor,False
koala,home decor,koalas are a type of,home decor,False
maggot,home decor,maggots are a type of,home decor,False
dumpster,home decor,dumpsters are a type of,home decor,False
aloe,home decor,aloe is a type of,home decor,False
clover,home decor,clovers are a type of,home decor,False
backscratcher,home decor,backscratchers are a type of,home decor,False
eggplant,home decor,eggplants are a type of,home decor,False
beer,home decor,beer is a type of,home decor,False
padlock,home decor,padlocks are a type of,home decor,False
basil,home decor,basil is a type of,home decor,False
tupperware,home decor,tupperware is a type of,home decor,False
scrambled egg,home decor,scrambled eggs are a type of,home decor,False
poker,home decor,pokers are a type of,home decor,False
sailboat,home decor,sailboats are a type of,home decor,False
lemonade,home decor,lemonades are a type of,home decor,False
briefcase,home decor,briefcases are a type of,home decor,False
strainer,home decor,strainers are a type of,home decor,False
taxi,home decor,taxis are a type of,home decor,False
spareribs,home decor,spareribs are a type of,home decor,False
