yes,no,diff
-15.213468551635742,-9.96452808380127,-5.248940467834473
-19.54003143310547,-8.631977081298828,-10.90805435180664
-9.621420860290527,-16.973295211791992,7.351874351501465
-8.779881477355957,-21.750492095947266,12.970610618591309
-19.712804794311523,-8.793476104736328,-10.919328689575195
-17.236778259277344,-7.214832305908203,-10.02194595336914
-18.891157150268555,-7.549196243286133,-11.341960906982422
-11.92923355102539,-11.222014427185059,-0.707219123840332
-20.149673461914062,-9.314529418945312,-10.83514404296875
-16.143234252929688,-8.831181526184082,-7.3120527267456055
-18.23238754272461,-7.56605339050293,-10.66633415222168
-10.297160148620605,-20.397457122802734,10.100296974182129
-17.359193801879883,-11.683746337890625,-5.675447463989258
-18.51799774169922,-8.928606033325195,-9.589391708374023
-14.248875617980957,-10.807432174682617,-3.44144344329834
-9.184885025024414,-22.487516403198242,13.302631378173828
-15.660225868225098,-11.116874694824219,-4.543351173400879
-19.474348068237305,-8.82954216003418,-10.644805908203125
-18.458953857421875,-10.410526275634766,-8.04842758178711
-9.565616607666016,-15.975275039672852,6.409658432006836
-17.348155975341797,-9.158842086791992,-8.189313888549805
-19.831327438354492,-9.025457382202148,-10.805870056152344
-10.253726959228516,-12.405887603759766,2.15216064453125
-19.6302433013916,-7.985104560852051,-11.64513874053955
-19.38882064819336,-8.090299606323242,-11.298521041870117
-19.50417137145996,-8.310249328613281,-11.19392204284668
-18.1170654296875,-9.985240936279297,-8.131824493408203
-15.94324779510498,-10.061139106750488,-5.882108688354492
-9.575615882873535,-21.804174423217773,12.228558540344238
-8.939189910888672,-19.43242645263672,10.493236541748047
-18.85301971435547,-7.952245712280273,-10.900774002075195
-9.35340690612793,-22.309144973754883,12.955738067626953
-18.307632446289062,-8.955974578857422,-9.35165786743164
-11.431854248046875,-10.380193710327148,-1.0516605377197266
-10.905172348022461,-14.135481834411621,3.23030948638916
-19.127168655395508,-8.04605484008789,-11.081113815307617
-14.136073112487793,-10.190073013305664,-3.946000099182129
-9.273380279541016,-20.597658157348633,11.324277877807617
-21.126087188720703,-10.303613662719727,-10.822473526000977
-9.825935363769531,-23.06558609008789,13.23965072631836
-13.356536865234375,-11.639303207397461,-1.717233657836914
-11.598743438720703,-13.449014663696289,1.850271224975586
-19.59048080444336,-8.363455772399902,-11.227025032043457
-17.77312469482422,-8.418408393859863,-9.354716300964355
-19.21782112121582,-9.866128921508789,-9.351692199707031
-19.070663452148438,-8.171546936035156,-10.899116516113281
-20.696813583374023,-9.604303359985352,-11.092510223388672
-10.423885345458984,-22.756366729736328,12.332481384277344
-13.247087478637695,-10.81298828125,-2.4340991973876953
-10.271242141723633,-15.403335571289062,5.13209342956543
-18.02077865600586,-7.510106086730957,-10.510672569274902
-19.051170349121094,-8.699151992797852,-10.352018356323242
-10.095914840698242,-19.97484588623047,9.878931045532227
-16.376039505004883,-10.015605926513672,-6.360433578491211
-19.003896713256836,-8.816808700561523,-10.187088012695312
-10.035785675048828,-23.315166473388672,13.279380798339844
-19.36546516418457,-8.702329635620117,-10.663135528564453
-14.951988220214844,-10.021706581115723,-4.930281639099121
-10.350173950195312,-13.011466979980469,2.6612930297851562
-19.154281616210938,-8.926750183105469,-10.227531433105469
-10.30321216583252,-23.08026695251465,12.777054786682129
-19.472789764404297,-10.284538269042969,-9.188251495361328
-9.379129409790039,-20.562131881713867,11.183002471923828
-9.624663352966309,-20.18170928955078,10.557045936584473
-10.167106628417969,-22.94536781311035,12.778261184692383
-19.620765686035156,-9.702751159667969,-9.918014526367188
-19.672067642211914,-8.942873001098633,-10.729194641113281
-16.93658447265625,-11.531557083129883,-5.405027389526367
-16.94595718383789,-9.935892105102539,-7.010065078735352
-9.901509284973145,-22.444149017333984,12.54263973236084
-19.699539184570312,-9.591829299926758,-10.107709884643555
-10.336588859558105,-13.221814155578613,2.885225296020508
-9.31673812866211,-22.283693313598633,12.966955184936523
-9.254533767700195,-18.596317291259766,9.34178352355957
-10.163480758666992,-20.92966651916504,10.766185760498047
-18.641618728637695,-8.053796768188477,-10.587821960449219
-11.015876770019531,-12.54625129699707,1.530374526977539
-9.820701599121094,-22.056852340698242,12.236150741577148
-9.834943771362305,-21.530412673950195,11.69546890258789
-19.269126892089844,-8.642959594726562,-10.626167297363281
-19.829158782958984,-8.52687931060791,-11.302279472351074
-19.976572036743164,-9.119848251342773,-10.85672378540039
-19.76106834411621,-9.089712142944336,-10.671356201171875
-18.691259384155273,-8.67083740234375,-10.020421981811523
-19.783952713012695,-8.335097312927246,-11.44885540008545
-14.125329971313477,-10.659197807312012,-3.466132164001465
-12.178666114807129,-14.017265319824219,1.8385992050170898
-18.329116821289062,-9.229291915893555,-9.099824905395508
-9.888545036315918,-22.90340232849121,13.014857292175293
-18.12620735168457,-8.6534423828125,-9.47276496887207
-8.963960647583008,-20.24397850036621,11.280017852783203
-9.35444164276123,-22.13643455505371,12.78199291229248
-18.47823143005371,-9.517667770385742,-8.960563659667969
-18.109050750732422,-8.864019393920898,-9.245031356811523
-19.0614070892334,-8.717101097106934,-10.344305992126465
-16.473445892333984,-9.950668334960938,-6.522777557373047
-19.9876651763916,-8.896989822387695,-11.090675354003906
-7.965263366699219,-21.288965225219727,13.323701858520508
-17.787986755371094,-10.239120483398438,-7.548866271972656
-19.195911407470703,-8.453983306884766,-10.741928100585938
-18.823463439941406,-8.745942115783691,-10.077521324157715
-19.189678192138672,-8.911928176879883,-10.277750015258789
-19.737285614013672,-9.252786636352539,-10.484498977661133
-19.57640838623047,-9.453182220458984,-10.123226165771484
-9.775487899780273,-20.15329933166504,10.377811431884766
-9.985748291015625,-23.01641845703125,13.030670166015625
-19.64042091369629,-9.226722717285156,-10.413698196411133
-19.812450408935547,-9.76894474029541,-10.043505668640137
-14.72337532043457,-11.688817977905273,-3.034557342529297
-9.407529830932617,-21.53058624267578,12.123056411743164
-13.653924942016602,-11.744271278381348,-1.909653663635254
-19.02138900756836,-7.923227310180664,-11.098161697387695
-18.753265380859375,-8.528806686401367,-10.224458694458008
-18.704631805419922,-10.590267181396484,-8.114364624023438
-19.06981658935547,-10.396018028259277,-8.673798561096191
-15.810222625732422,-8.795494079589844,-7.014728546142578
-18.611927032470703,-7.466056823730469,-11.145870208740234
-13.432905197143555,-12.185811996459961,-1.2470932006835938
-19.375,-8.769203186035156,-10.605796813964844
-19.72239875793457,-8.822527885437012,-10.899870872497559
-21.009313583374023,-9.76850700378418,-11.240806579589844
-19.329795837402344,-7.999286651611328,-11.330509185791016
-9.238258361816406,-15.858745574951172,6.620487213134766
-10.747697830200195,-12.97281265258789,2.2251148223876953
-9.185798645019531,-16.804285049438477,7.618486404418945
-20.124032974243164,-10.01030158996582,-10.113731384277344
-12.135236740112305,-11.971288681030273,-0.16394805908203125
-20.06671905517578,-10.97684383392334,-9.089875221252441
-19.807533264160156,-8.078140258789062,-11.729393005371094
-9.828609466552734,-18.13973045349121,8.311120986938477
-9.06505298614502,-19.81817054748535,10.753117561340332
-9.438133239746094,-22.36615562438965,12.928022384643555
-16.32059097290039,-10.76805305480957,-5.55253791809082
-9.741434097290039,-22.217945098876953,12.476511001586914
-13.33263874053955,-9.824222564697266,-3.508416175842285
-9.211823463439941,-21.539043426513672,12.32721996307373
-19.016691207885742,-8.835443496704102,-10.18124771118164
-19.958524703979492,-8.410221099853516,-11.548303604125977
-8.88241958618164,-19.183263778686523,10.300844192504883
-18.9112606048584,-7.047540664672852,-11.863719940185547
-19.59488868713379,-7.879683494567871,-11.715205192565918
-10.277344703674316,-22.336637496948242,12.059292793273926
-19.9177303314209,-9.006163597106934,-10.911566734313965
-20.739049911499023,-10.020027160644531,-10.719022750854492
-9.728872299194336,-22.682321548461914,12.953449249267578
-16.208675384521484,-10.071043968200684,-6.137631416320801
-18.83491325378418,-7.541135787963867,-11.293777465820312
-8.839712142944336,-20.46553611755371,11.625823974609375
-16.665752410888672,-9.070716857910156,-7.595035552978516
-18.548439025878906,-9.146790504455566,-9.40164852142334
-9.874824523925781,-22.430498123168945,12.555673599243164
-19.39737892150879,-8.402135848999023,-10.995243072509766
-19.740604400634766,-8.569000244140625,-11.17160415649414
-19.66835594177246,-9.716612815856934,-9.951743125915527
-12.136697769165039,-11.284954071044922,-0.8517436981201172
-14.253312110900879,-10.876216888427734,-3.3770952224731445
-10.757152557373047,-12.86964225769043,2.112489700317383
-19.24875259399414,-8.45716667175293,-10.791585922241211
-18.816783905029297,-10.186882019042969,-8.629901885986328
-19.333641052246094,-9.099874496459961,-10.233766555786133
-9.768980026245117,-22.771102905273438,13.00212287902832
-19.311275482177734,-9.283594131469727,-10.027681350708008
-18.065214157104492,-10.228428840637207,-7.836785316467285
-19.083553314208984,-8.767766952514648,-10.315786361694336
-9.664794921875,-13.659420013427734,3.9946250915527344
-10.83629322052002,-13.14545726776123,2.309164047241211
-19.631893157958984,-8.139982223510742,-11.491910934448242
-10.608253479003906,-23.615924835205078,13.007671356201172
-19.615068435668945,-10.143428802490234,-9.471639633178711
-18.266704559326172,-9.963703155517578,-8.303001403808594
-18.41287612915039,-9.619319915771484,-8.793556213378906
-10.039155960083008,-22.914066314697266,12.874910354614258
-19.664249420166016,-10.340719223022461,-9.323530197143555
-19.967117309570312,-9.407581329345703,-10.55953598022461
-18.83963966369629,-7.709352493286133,-11.130287170410156
-19.3095645904541,-7.891633987426758,-11.417930603027344
-19.367223739624023,-10.645415306091309,-8.721808433532715
-18.669647216796875,-8.755416870117188,-9.914230346679688
-17.820213317871094,-9.395246505737305,-8.424966812133789
-8.424690246582031,-19.618267059326172,11.19357681274414
-18.63860511779785,-7.989789962768555,-10.648815155029297
-10.314310073852539,-23.517946243286133,13.203636169433594
-9.560226440429688,-22.996768951416016,13.436542510986328
-18.197261810302734,-9.011856079101562,-9.185405731201172
-19.525814056396484,-8.419174194335938,-11.106639862060547
-11.792985916137695,-11.092521667480469,-0.7004642486572266
-19.11243438720703,-8.680103302001953,-10.432331085205078
-20.071556091308594,-8.386540412902832,-11.685015678405762
-9.226749420166016,-19.54892921447754,10.322179794311523
-18.997074127197266,-7.67344856262207,-11.323625564575195
-19.521989822387695,-10.533788681030273,-8.988201141357422
-18.755834579467773,-9.119534492492676,-9.636300086975098
-14.79710578918457,-10.111773490905762,-4.685332298278809
-17.47890853881836,-9.224050521850586,-8.254858016967773
-17.07886505126953,-10.588687896728516,-6.490177154541016
-19.500234603881836,-8.85634994506836,-10.643884658813477
-9.45675277709961,-20.189739227294922,10.732986450195312
-18.08325958251953,-8.409613609313965,-9.673645973205566
-15.144858360290527,-12.477907180786133,-2.6669511795043945
-13.149101257324219,-10.58016586303711,-2.5689353942871094
-18.3780517578125,-7.135948181152344,-11.242103576660156
-9.411064147949219,-21.16529655456543,11.754232406616211
-9.29159164428711,-22.662349700927734,13.370758056640625
