yes,no,yes-r,no-r
-1.343677282333374,-1.6310498714447021,-1.6502407789230347,-1.4423493146896362
-1.3013877868652344,-1.3575935363769531,-1.6753243207931519,-1.1823796033859253
-1.135605812072754,-1.8032445907592773,-1.6210451126098633,-1.4269599914550781
-1.0228216648101807,-2.40749192237854,-1.4422955513000488,-1.6589665412902832
-1.4418773651123047,-1.2123908996582031,-1.8966166973114014,-1.0781190395355225
-1.4774898290634155,-1.3031924962997437,-1.3209104537963867,-2.1688756942749023
-1.2010705471038818,-1.7182061672210693,-1.599281907081604,-1.5693479776382446
-1.939723253250122,-1.1297085285186768,-2.130845546722412,-0.8140348792076111
-1.3291226625442505,-1.4825059175491333,-1.2250646352767944,-1.6926273107528687
-1.3536803722381592,-1.7318599224090576,-1.3781747817993164,-1.960719108581543
-0.9285964369773865,-2.4904918670654297,-1.475016474723816,-1.64964759349823
-1.4036833047866821,-1.6623331308364868,-1.8414477109909058,-1.2124747037887573
-1.5113605260849,-1.3132890462875366,-1.5641556978225708,-1.450780987739563
-1.7075124979019165,-1.0270448923110962,-2.322714328765869,-0.911531925201416
-0.9560798406600952,-2.06742525100708,-1.3634058237075806,-1.738543152809143
-1.5973509550094604,-1.4480494260787964,-1.8538707494735718,-1.1004966497421265
-1.3130759000778198,-1.3875044584274292,-1.3624886274337769,-1.4866751432418823
-0.9830883741378784,-2.8249387741088867,-1.46048903465271,-1.631453275680542
-2.2766075134277344,-1.0603750944137573,-2.047757625579834,-1.1320843696594238
-1.0338671207427979,-2.7327120304107666,-1.3424835205078125,-2.0006446838378906
-1.1532974243164062,-2.453911781311035,-1.6723392009735107,-1.3785006999969482
-1.209857702255249,-2.147068738937378,-1.7341129779815674,-1.2737362384796143
-1.2242701053619385,-1.8011353015899658,-1.8372665643692017,-1.1534610986709595
-1.2762539386749268,-1.748002290725708,-1.7734483480453491,-1.200299620628357
-1.5727102756500244,-1.3186380863189697,-1.467571496963501,-1.7779324054718018
-1.514682412147522,-1.353549599647522,-1.6453274488449097,-1.4611138105392456
-0.9752869009971619,-2.548142910003662,-1.4195338487625122,-1.6981459856033325
-1.2802276611328125,-1.9153547286987305,-1.8574024438858032,-1.258323311805725
-1.5500681400299072,-1.380218744277954,-1.882535696029663,-1.0916030406951904
-1.0195462703704834,-2.5027873516082764,-1.4789870977401733,-1.634743094444275
-1.1219905614852905,-2.0977654457092285,-1.6852227449417114,-1.304245114326477
-1.1463268995285034,-2.2531728744506836,-1.4840589761734009,-1.572381615638733
-1.0669147968292236,-2.180762529373169,-1.3156527280807495,-1.4591540098190308
-1.6813130378723145,-1.3584599494934082,-2.350621223449707,-0.8817567229270935
-1.1534771919250488,-2.0342965126037598,-1.4097689390182495,-1.677561640739441
-1.1741622686386108,-1.9715694189071655,-1.5737510919570923,-1.4133697748184204
-1.3922840356826782,-1.6135727167129517,-1.4848381280899048,-1.343621850013733
-1.5719847679138184,-1.2038016319274902,-1.929935336112976,-1.0423296689987183
-1.214611530303955,-1.7090020179748535,-1.7005107402801514,-1.2701804637908936
-1.0913199186325073,-2.0140132904052734,-1.5035587549209595,-1.4179178476333618
-1.6030018329620361,-1.1665756702423096,-2.163905143737793,-0.9209690690040588
-2.2649741172790527,-1.170310378074646,-1.9853428602218628,-1.276223063468933
-0.9678419828414917,-2.451913833618164,-1.4217889308929443,-1.6431844234466553
-2.087447166442871,-1.0631341934204102,-2.665351390838623,-0.8316121101379395
-0.9290353059768677,-2.588590621948242,-1.2634825706481934,-1.7654070854187012
-1.298983097076416,-1.676220417022705,-1.3173857927322388,-1.6940680742263794
-1.0484050512313843,-1.7875274419784546,-1.4575649499893188,-1.254724144935608
