premise,conclusion,hypernymy,similarity_raw,similarity_binary,premise_form,conclusion_form
container,generator,no,0.734688401222229,high,containers,generators
electronic device,metal detector,yes,0.5572587847709656,high,electronic devices,metal detectors
clothing,plaster cast,no,0.7536451816558838,high,clothing,plaster casts
animal,hedgehog,yes,0.8781511783599854,high,animals,hedgehogs
food,bok choy,yes,0.7345308065414429,high,food,bok choys
animal,pinball,no,0.1237422302365303,low,animals,pinballs
food,marshmallow,yes,0.7076350450515747,high,food,marshmallows
animal,lizard,yes,0.8353052139282227,high,animals,lizards
electronic device,stove,no,0.727827250957489,high,electronic devices,stoves
food,scallop,yes,0.8035513758659363,high,food,scallops
women's clothing,patty,no,0.1506544053554535,low,women's clothes,patties
fruit,melon,yes,0.9082476496696472,high,fruits,melons
accessory,tie,yes,0.8025915622711182,high,accessories,ties
auto part,speedometer,yes,0.7433611750602722,high,auto parts,speedometers
candy,whip,no,0.08814255893230438,low,candy,whips
container,skunk,no,0.10940761119127274,low,containers,skunks
weapon,brass knuckles,no,0.7399432063102722,high,weapons,brass knuckles
condiment,crepe,no,0.8218557238578796,high,condiments,crepes
electronic device,air conditioner,yes,0.7639726400375366,high,electronic devices,air conditioners
vehicle,bulldozer,yes,0.8430815935134888,high,vehicles,bulldozers
food,macaroni,yes,0.7750514149665833,high,food,macaroni
candy,banana split,no,0.8604283928871155,high,candy,banana splits
school supply,stir fry,no,0.11416279524564743,low,school supplies,stir fry
electronic device,refrigerator,yes,0.698154866695404,high,electronic devices,refrigerators
tool,wire,yes,0.6553118824958801,low,tools,wires
vehicle,trolley,yes,0.8760195374488831,high,vehicles,trolleys
container,celery,no,0.10763300955295563,low,containers,celeries
accessory,ravioli,no,0.1423993855714798,low,accessories,ravioli
plant,scallion,no,0.8902343511581421,high,plants,scallions
musical instrument,lion,no,0.10843545943498611,low,musical instruments,lions
vehicle,unicycle,yes,0.7530962228775024,high,vehicles,unicycles
fastener,hook,no,0.7339071035385132,high,fasteners,hooks
food,plunger,no,0.12909415364265442,low,food,plungers
medical equipment,grapefruit,no,0.11974777281284332,high,medical equipment,grapefruits
fruit,sweeper,no,0.086484894156456,low,fruits,sweepers
food,bell pepper,no,0.7997198104858398,high,food,bell peppers
container,lunchbox,yes,0.5458047986030579,low,containers,lunchboxes
accessory,insole,yes,0.6563042998313904,low,accessories,insoles
animal,cockroach,yes,0.8244397640228271,high,animals,cockroaches
outerwear,shawl,yes,0.8766913414001465,high,outerwear,shawls
animal,chicken,yes,0.871569037437439,high,animals,chicken
vehicle,school bus,no,0.8805460333824158,high,vehicles,school buses
toiletry,washcloth,yes,0.5847052931785583,low,toiletries,washcloths
food,green beans,yes,0.7463724613189697,high,food,green beans
protective clothing,hoodie,no,0.797369658946991,high,protective clothing,hoodies
school supply,album,no,0.6569707989692688,high,school supplies,albums
weapon,machete,yes,0.8071820139884949,high,weapons,machetes
plant,aloe,yes,0.94312983751297,high,plants,aloe
office supply,glue,yes,0.6756302118301392,high,office supplies,glue
tool,scissors,yes,0.8231481909751892,high,tools,scissors
fastener,wrench,no,0.7111850380897522,high,fasteners,wrenches
container,pretzel,no,0.10946138948202133,low,containers,pretzels
electronic device,filing cabinet,no,0.708034873008728,high,electronic devices,filing cabinets
fastener,bell pepper,no,0.10943577438592911,low,fasteners,bell peppers
drink,milkshake,yes,0.9409337043762207,high,drinks,milkshakes
breakfast,stew,no,0.8817844390869141,high,breakfasts,stew
footwear,moccasin,yes,0.898325502872467,high,footwear,moccasins
seafood,scooter,no,0.08453827351331711,low,seafood,scooters
electronic device,washing machine,yes,0.7508009672164917,high,electronic devices,washing machines
women's clothing,fishnet stockings,yes,0.8724644780158997,low,women's clothes,fishnet stockings
animal,parrot,yes,0.8454682230949402,high,animals,parrots
furniture,workbench,yes,0.5659650564193726,high,furniture,workbenches
condiment,enchilada,no,0.8132860064506531,high,condiments,enchiladas
furniture,turtle,no,0.11620702594518661,low,furniture,turtles
seafood,lampshade,no,0.08538056910037994,low,seafood,lampshades
food,beer,no,0.6620128154754639,high,food,beer
animal,scorpion,yes,0.8402133584022522,high,animals,scorpions
food,coleslaw,yes,0.7878135442733765,high,food,coleslaws
toy,hopscotch,no,0.8042401671409607,high,toys,hopscotches
water vehicle,calzone,no,0.09973614662885666,low,water vehicles,calzones
women's clothing,tube top,yes,0.9049700498580933,high,women's clothes,tube tops
clothing,turtleneck,yes,0.8707596063613892,high,clothing,turtlenecks
food,turntable,no,0.13534356653690338,low,food,turntables
mammal,printer,no,0.09998134523630142,low,mammals,printers
game,ticktacktoe,yes,0.8495467305183411,low,games,tick-tack-toe
sea animal,goldfish,no,0.865861713886261,high,sea animals,goldfish
animal,apron,no,0.12138538062572479,low,animals,aprons
clothing,bowtie,yes,0.8365828990936279,high,clothing,bowties
medical equipment,toothbrush,no,0.6562689542770386,high,medical equipment,toothbrushes
home decor,candelabra,yes,0.5706799626350403,high,home decor,candelabras
home decor,dresser,no,0.5406966209411621,high,home decor,dressers
breakfast,burrito,no,0.8817046284675598,high,breakfasts,burritos
jewelry,blazer,no,0.832823634147644,high,jewelry,blazers
kitchen tool,juicer,yes,0.6965757012367249,low,kitchen tools,juicers
vehicle,helicopter,yes,0.8771830797195435,high,vehicles,helicopters
insect,frog,no,0.8873820304870605,high,insects,frogs
electronic device,lizard,no,0.11188627779483795,low,electronic devices,lizards
electronic device,computer screen,yes,0.7129283547401428,high,electronic devices,computer screens
electronic device,television,yes,0.8014986515045166,high,electronic devices,televisions
plant,inkwell,no,0.0829055905342102,low,plants,inkwells
plant,cactus,yes,0.8321245908737183,low,plants,cactus
electronic device,radio,yes,0.7758893370628357,high,electronic devices,radios
home decor,lampshade,yes,0.4625014662742615,low,home decor,lampshades
food,jelly bean,no,0.7076150178909302,high,food,jelly beans
auto part,van,no,0.7969568371772766,high,auto parts,vans
animal,possum,yes,0.8864231109619141,high,animals,possums
home decor,vase,yes,0.6324079036712646,high,home decor,vases
vehicle,stretcher,no,0.7494668960571289,high,vehicles,stretchers
tool,gear,yes,0.8090021014213562,high,tools,gears
plant,robot,no,0.08269624412059784,low,plants,robots
food,stuffing,yes,0.7971482872962952,high,food,stuffing
school supply,folder,yes,0.7879714369773865,high,school supplies,folders
container,speedboat,no,0.6828036904335022,high,containers,speedboats
food,safety pin,no,0.12836642563343048,low,food,safety pins
food,ladle,no,0.4335292875766754,high,food,ladles
food,jetski,no,0.14192138612270355,low,food,jetskis
container,jeep,no,0.7534456253051758,high,containers,jeeps
electronic device,freezer,yes,0.6809884309768677,high,electronic devices,freezers
toy,doll,yes,0.875175952911377,high,toys,dolls
mammal,lion,yes,0.9067493677139282,high,mammals,lions
food,yolk,yes,0.791847825050354,high,food,egg yolks
seafood,airbag,no,0.08499395102262497,low,seafood,airbags
sea animal,pliers,no,0.10428021103143692,low,sea animals,pliers
fruit,jalapeno,no,0.8878999352455139,high,fruits,jalapenoes
clothing,bracelet,yes,0.6655169129371643,high,clothing,bracelets
food,noodle,yes,0.7943260669708252,high,food,noodles
food,chicken,no,0.7665426731109619,high,food,chicken
clothing,toast,no,0.15899041295051575,low,clothing,toast
women's clothing,robe,no,0.9082819223403931,high,women's clothes,robes
game,owl,no,0.12103483825922012,low,games,owls
medical equipment,gauze,yes,0.6336916089057922,high,medical equipment,gauzes
food,cream cheese,yes,0.697283923625946,high,food,cream cheese
condiment,tortilla,no,0.8178974390029907,high,condiments,tortillas
animal,sea urchin,yes,0.6382907629013062,high,animals,sea urchins
bird,wasp,no,0.9189439415931702,high,birds,wasps
medical equipment,guacamole,no,0.11943615227937698,low,medical equipment,guacamole
vehicle,stroller,yes,0.646077036857605,high,vehicles,strollers
candy,gumball,yes,0.9362441897392273,high,candy,gumballs
food,egg roll,no,0.7969751358032227,high,food,egg rolls
vehicle,station wagon,no,0.8619205355644226,high,vehicles,station wagons
electronic device,octopus,no,0.10937157273292542,low,electronic devices,octopus
protective clothing,helmet,yes,0.7438206076622009,high,protective clothing,helmets
food,fan,no,0.1310395747423172,low,food,fans
food,mashed potato,no,0.7584455609321594,high,food,mashed potatoes
vegetable,trolley,no,0.09580133110284805,low,vegetables,trolleys
container,water bottle,yes,0.3293626308441162,low,containers,water bottles
candy,cotton candy,yes,0.8155606985092163,low,candy,cotton candy
animal,ring,no,0.11968139559030533,low,animals,rings
accessory,shawl,yes,0.8146149516105652,high,accessories,shawls
container,jalapeno,no,0.10876764357089996,low,containers,jalapenoes
protective clothing,fruitcake,no,0.11415451765060425,low,protective clothing,fruitcakes
animal,whale,yes,0.8602932095527649,high,animals,whales
livestock,calf,yes,0.9308162331581116,high,livestocks,calves
food,arugula,yes,0.7857022285461426,high,food,arugula
kitchen tool,duck,no,0.09811250865459442,low,kitchen tools,ducks
mammal,sheep,yes,0.9195703864097595,high,mammals,sheeps
clothing,bathrobe,yes,0.8405210375785828,high,clothing,bathrobes
fruit,cauliflower,no,0.8874537348747253,high,fruits,cauliflowers
breakfast,breakfast,yes,1.0,high,breakfasts,breakfasts
home decor,weather vane,yes,0.4748370051383972,low,home decor,weather vanes
animal,abacus,no,0.11815507709980011,low,animals,abacuses
toy,burrito,no,0.13288216292858124,low,toys,burritos
food,maggot,no,0.516842246055603,high,food,maggots
food,ice cream,yes,0.7634308338165283,high,food,ice creams
furniture,rocking chair,no,0.8433218002319336,high,furniture,rocking chairs
animal,chick,yes,0.8848097920417786,high,animals,chicks
toy,kaleidoscope,yes,0.7324482798576355,high,toys,kaleidoscopes
jewelry,donkey,no,0.09482203423976898,low,jewelry,donkeys
food,tugboat,no,0.1298990249633789,low,food,tugboats
animal,fishbowl,no,0.7469163537025452,high,animals,fishbowls
food,grapefruit,yes,0.7685051560401917,high,food,grapefruits
container,basil,no,0.11365588754415512,low,containers,basil
food,valve,no,0.139949768781662,low,food,valves
mammal,goat,yes,0.9190235733985901,high,mammals,goats
tool,sawhorse,yes,0.9271563291549683,high,tools,sawhorses
footwear,tostada,no,0.11088827252388,low,footwear,tostadas
clothing,apron,yes,0.7829524278640747,high,clothing,aprons
bird,chicken,no,0.8751329779624939,high,birds,chicken
seafood,calamari,yes,0.8537914156913757,high,seafood,calamari
mammal,punch,no,0.1415192037820816,high,mammals,fruit punches
breakfast,gyroscope,no,0.10724622011184692,low,breakfasts,gyroscopes
jewelry,watch,yes,0.7187039852142334,low,jewelry,watches
home decor,crystal ball,yes,0.508441686630249,low,home decor,crystal balls
outerwear,pants,no,0.8824496865272522,high,outerwear,pants
mammal,mouse,no,0.927245557308197,high,mammals,mice
protective clothing,football helmet,yes,0.7095550894737244,high,protective clothing,football helmets
electronic device,piano,no,0.6698833107948303,high,electronic devices,pianos
kitchen tool,skewer,yes,0.5415440201759338,low,kitchen tools,skewers
vehicle,motorcycle,yes,0.8852348923683167,high,vehicles,motorcycles
women's clothing,tortilla,no,0.1509765386581421,low,women's clothes,tortillas
food,fast food,yes,0.7992877960205078,high,food,fast foods
drink,iguana,no,0.11663621664047241,low,drinks,iguanas
weapon,hammer,yes,0.8076977729797363,high,weapons,hammers
water vehicle,seaplane,yes,0.9367059469223022,high,water vehicles,seaplanes
animal,marijuana,no,0.4606216847896576,high,animals,marijuana
office supply,file,yes,0.7687708735466003,high,office supplies,files
home decor,centerpiece,yes,0.6068861484527588,high,home decor,centerpieces
tool,knife,yes,0.7704067826271057,high,tools,knives
headwear,watermelon,no,0.15601986646652222,low,headwear,watermelons
medical equipment,syringe,yes,0.791236162185669,high,medical equipment,syringes
breakfast,omelet,yes,0.887231707572937,high,breakfasts,omelets
food,measuring cup,no,0.43404242396354675,high,food,measuring cups
accessory,headscarf,no,0.7669649124145508,high,accessories,headscarves
furniture,highchair,yes,0.6910615563392639,high,furniture,highchairs
musical instrument,harp,yes,0.9071220755577087,high,musical instruments,harps
condiment,marmalade,yes,0.8189476132392883,high,condiments,marmalade
tool,paperclip,no,0.7829121947288513,high,tools,paperclips
food,wedding cake,yes,0.6072015166282654,high,food,wedding cakes
toy,whoopee cushion,yes,0.5948681235313416,low,toys,whoopee cushions
electronic device,stereo,yes,0.8292398452758789,high,electronic devices,stereos
electronic device,gearshift,no,0.7138242125511169,high,electronic devices,gearshifts
fastener,hotdog,no,0.11042129248380661,low,fasteners,hotdogs
breakfast,hash,yes,0.8769094347953796,high,breakfasts,hash browns
clothing,tomato sauce,no,0.15830419957637787,low,clothing,tomato sauce
food,soy sauce,no,0.6247766613960266,high,food,soy sauce
electronic device,record player,yes,0.7241280674934387,high,electronic devices,record players
breakfast,handbrake,no,0.10571083426475525,low,breakfasts,handbrakes
bird,ostrich,yes,0.8965935707092285,high,birds,ostriches
tool,zipper,no,0.7491283416748047,high,tools,zippers
electronic device,drill,yes,0.66126549243927,high,electronic devices,drills
mammal,wrench,no,0.10248339921236038,low,mammals,wrenches
food,candy cane,no,0.6237607002258301,high,food,candy canes
food,wedding cake,no,0.6072015166282654,high,food,wedding cakes
sea animal,remote control,no,0.10446077585220337,low,sea animals,remote controls
medical equipment,brass knuckles,no,0.6098757386207581,high,medical equipment,brass knuckles
fastener,dumpling,no,0.10919588059186935,low,fasteners,dumplings
fruit,prune,yes,0.76806640625,high,fruits,prunes
clothing,shirt,yes,0.8376894593238831,high,clothing,shirts
container,spinach,no,0.10606793314218521,low,containers,spinach
food,pecan,yes,0.7808764576911926,high,food,pecans
condiment,latte,no,0.8069314956665039,high,condiments,lattes
medical equipment,walker,yes,0.6756373047828674,high,medical equipment,walkers
food,rooster,no,0.46074146032333374,high,food,roosters
accessory,pastry,no,0.14247290790081024,low,accessories,pastries
food,gingerbread man,no,0.616936206817627,high,food,gingerbread men
footwear,mitten,no,0.856890082359314,high,footwear,mittens
food,shirt,no,0.1369955986738205,low,food,shirts
tool,blower,yes,0.7360306978225708,high,tools,blowers
clothing,fur coat,yes,0.8547213077545166,high,clothing,fur coats
clothing,rollerskate,no,0.6450783014297485,high,clothing,rollerskates
breakfast,jam,yes,0.8488667011260986,low,breakfasts,jams
clothing,sling,no,0.7974178791046143,high,clothing,slings
breakfast,tape measure,no,0.105112724006176,low,breakfasts,tape measures
container,pasta,no,0.10466493666172028,low,containers,pasta
accessory,top hat,no,0.7676745057106018,high,accessories,top hats
dessert,popsicle,yes,0.8506078720092773,high,desserts,popsicles
vehicle,seaplane,yes,0.8901971578598022,high,vehicles,seaplanes
clothing,barrette,no,0.707887589931488,high,clothing,barrettes
plant,smoke alarm,no,0.08276120573282242,low,plants,smoke alarms
vehicle,cannon,no,0.7345365881919861,high,vehicles,cannons
container,toolbox,yes,0.6829108595848083,high,containers,toolboxes
animal,bush,no,0.4307654798030853,high,animals,bushes
container,filing cabinet,no,0.7000513076782227,high,containers,filing cabinets
school supply,inkwell,yes,0.5027825832366943,high,school supplies,inkwells
electronic device,rattlesnake,no,0.11468879878520966,low,electronic devices,rattlesnakes
animal,poppy,no,0.47226211428642273,high,animals,poppies
container,mustard,no,0.10844699293375015,low,containers,mustard
water vehicle,airplane,no,0.8848609924316406,high,water vehicles,airplanes
food,tiramisu,yes,0.7868849039077759,high,food,tiramisu
breakfast,ravioli,no,0.8907232880592346,high,breakfasts,ravioli
toiletry,shaving cream,yes,0.6654163599014282,high,toiletries,shaving cream
food,tupperware,no,0.45142918825149536,high,food,tupperware
electronic device,timer,no,0.7131024599075317,high,electronic devices,timers
headwear,sombrero,yes,0.8151716589927673,high,headwear,sombreros
home decor,organ,no,0.569862425327301,high,home decor,organs
clothing,chaps,yes,0.7773920297622681,high,clothing,chapsticks
animal,mouse,no,0.8903387784957886,high,animals,mice
container,aircraft carrier,no,0.7046644687652588,high,containers,aircraft carriers
container,bulldozer,no,0.7587559819221497,high,containers,bulldozers
seafood,swordfish,yes,0.6864123940467834,high,seafood,swordfish
toiletry,lip balm,yes,0.7293037176132202,high,toiletries,lip balms
food,jalapeno,yes,0.7908496856689453,high,food,jalapenoes
condiment,ravioli,no,0.8062578439712524,high,condiments,ravioli
animal,palm tree,no,0.45088979601860046,high,animals,palm trees
plant,tuba,no,0.08277322351932526,low,plants,tubas
sea animal,coral,yes,0.7967883348464966,high,sea animals,corals
food,wineglass,no,0.5946784019470215,high,food,wineglasses
vehicle,hovercraft,yes,0.8945252299308777,high,vehicles,hovercrafts
food,teacup,no,0.5059524178504944,high,food,teacups
tool,hammer,yes,0.9269965291023254,high,tools,hammers
food,stir fry,yes,0.8041929006576538,high,food,stir fry
headwear,crown,yes,0.7096465229988098,low,headwear,crowns
mammal,hyena,yes,0.9156454801559448,high,mammals,hyenas
food,potpourri,no,0.4849007725715637,high,food,potpourris
tool,catapult,no,0.7159717679023743,high,tools,catapults
animal,giraffe,yes,0.8532076478004456,high,animals,giraffes
food,recliner,no,0.14731574058532715,low,food,recliners
food,apple tree,no,0.6344170570373535,high,food,apple trees
fruit,mango,yes,0.8873922824859619,high,fruits,mangoes
food,quiche,yes,0.8113435506820679,high,food,quiches
food,train set,no,0.12743143737316132,low,food,train sets
breakfast,buckle,no,0.10619455575942993,low,breakfasts,buckles
clothing,omelet,no,0.15091519057750702,low,clothing,omelets
vegetable,papaya,no,0.8779425024986267,high,vegetables,papayas
plant,apple tree,yes,0.9267861843109131,high,plants,apple trees
animal,sweet potato,no,0.4038395881652832,high,animals,sweet potatoes
food,watermelon,yes,0.7741096615791321,high,food,watermelons
toiletry,snake,no,0.13174225389957428,low,toiletries,snakes
livestock,bull,yes,0.9088944792747498,high,livestocks,bulls
animal,beetle,yes,0.8315289616584778,high,animals,beetles
container,hot tub,yes,0.30926313996315,low,containers,hot tubs
food,gumdrop,yes,0.7538399696350098,high,food,gumdrops
food,bread,yes,0.7887517809867859,high,food,bread
musical instrument,taco,no,0.10930255800485611,low,musical instruments,tacos
tool,knob,yes,0.5579389929771423,low,tools,knobs
animal,funnel,no,0.12357941269874573,low,animals,funnels
vegetable,fig,no,0.8468351364135742,high,vegetables,figs
breakfast,roll,yes,0.8531050682067871,low,breakfasts,rolls
kitchen tool,can opener,no,0.7733866572380066,high,kitchen tools,can openers
tool,ruler,yes,0.7474134564399719,high,tools,rulers
drink,drink,yes,1.0,high,drinks,drinks
dessert,pastry,yes,0.8343414664268494,low,desserts,pastries
food,hook,no,0.1261686235666275,low,food,hooks
food,pasta,yes,0.790033221244812,high,food,pasta
furniture,bed,yes,0.8097953200340271,high,furniture,beds
office supply,eyeliner,no,0.7686080932617188,high,office supplies,eyeliners
animal,peacock,yes,0.777213454246521,high,animals,peacocks
electronic device,slot machine,yes,0.5660089254379272,high,electronic devices,slot machines
clothing,crown,yes,0.48993024230003357,low,clothing,crowns
clothing,parfait,no,0.15787912905216217,low,clothing,parfaits
home decor,doily,yes,0.5650762319564819,high,home decor,doilies
sea animal,dolphin,yes,0.8672212362289429,high,sea animals,dolphins
tool,cane,no,0.7099937200546265,high,tools,canes
insect,ant,yes,0.9099048972129822,high,insects,ants
furniture,mango,no,0.11632664501667023,low,furniture,mangoes
tool,ram,no,0.09422513097524643,low,tools,rams
food,scrambled egg,no,0.8051780462265015,high,food,scrambled eggs
mammal,frog,no,0.8770067095756531,high,mammals,frogs
food,pizza,yes,0.785327136516571,high,food,pizzas
musical instrument,tuba,yes,0.9324867725372314,high,musical instruments,tubas
food,bowler hat,no,0.1297369748353958,low,food,bowler hats
accessory,glasses,yes,0.6433303356170654,low,accessories,glasses
furniture,bathtub,no,0.6953672766685486,high,furniture,bathtubs
jewelry,corsage,no,0.8398870825767517,high,jewelry,corsages
electronic device,mixer,yes,0.6749947667121887,high,electronic devices,mixers
headwear,bonnet,yes,0.860156774520874,high,headwear,bonnets
fruit,plum,yes,0.89168781042099,high,fruits,plums
food,terrarium,no,0.4388276934623718,high,food,terrariums
fastener,latch,yes,0.6975253224372864,high,fasteners,latches
sea animal,seal,yes,0.8397254347801208,high,sea animals,seals
clothing,blouse,yes,0.8774977326393127,high,clothing,blouses
weapon,dynamite,yes,0.6131579279899597,high,weapons,dynamites
outerwear,apron,yes,0.8456631898880005,high,outerwear,aprons
school supply,seal,no,0.1132318526506424,low,school supplies,seals
auto part,steering wheel,yes,0.8277729749679565,high,auto parts,steering wheels
vehicle,ship,yes,0.8468130230903625,high,vehicles,ships
food,exhaust pipe,no,0.12897726893424988,low,food,exhaust pipes
auto part,casserole,no,0.09288717806339264,low,auto parts,casseroles
accessory,blazer,no,0.7796556949615479,high,accessories,blazers
sea animal,tadpole,no,0.8633723855018616,high,sea animals,tadpoles
medical equipment,tweezers,yes,0.6603971719741821,high,medical equipment,tweezers
vehicle,carriage,yes,0.8471708297729492,high,vehicles,carriages
food,coffee,no,0.6582335829734802,high,food,coffee
food,potato,yes,0.8085877299308777,high,food,potatoes
vegetable,lettuce,yes,0.8630754351615906,high,vegetables,lettuce
food,potpie,yes,0.8015955090522766,high,food,potpies
headwear,bowtie,no,0.8147578835487366,high,headwear,bowties
mammal,mongoose,yes,0.9316343069076538,high,mammals,mongooses
food,tuba,no,0.13386784493923187,low,food,tubas
auto part,cabbage,no,0.09418433159589767,high,auto parts,cabbages
animal,platypus,yes,0.8671423196792603,high,animals,platypuses
fastener,button,no,0.7017756104469299,high,fasteners,buttons
food,cup,no,0.4344559609889984,high,food,cups
insect,ladybug,yes,0.9387972354888916,high,insects,ladybugs
