concept1,concept2,similarity
home decor,home decor,1.0
home decor,stained glass,0.6567927002906799
home decor,cuckoo clock,0.6412760615348816
home decor,vase,0.6324079036712646
home decor,chandelier,0.6163257956504822
home decor,wreath,0.6078892350196838
home decor,centerpiece,0.6068861484527588
home decor,urn,0.6033202409744263
home decor,throne,0.5987677574157715
home decor,chest,0.5872905850410461
home decor,rug,0.5846115350723267
home decor,music box,0.5807258486747742
home decor,wallpaper,0.574979305267334
home decor,goblet,0.5741659998893738
home decor,kaleidoscope,0.5730743408203125
home decor,candlestick,0.5726669430732727
home decor,christmas tree,0.5726616382598877
home decor,album,0.5711311101913452
home decor,candelabra,0.5706799626350403
home decor,organ,0.569862425327301
home decor,doily,0.5650762319564819
home decor,crown,0.5646734237670898
home decor,nightstand,0.562128484249115
home decor,sombrero,0.5608682632446289
home decor,mirror,0.5577032566070557
home decor,globe,0.5551297068595886
home decor,teacup,0.5530152916908264
home decor,lamp,0.552180826663971
home decor,jewelry,0.5490667223930359
home decor,jukebox,0.5486973524093628
home decor,coat rack,0.5485923886299133
home decor,tapestry,0.546820878982544
home decor,basket,0.5466551184654236
home decor,drawer,0.5440376400947571
home decor,harp,0.5418537259101868
home decor,dresser,0.5406966209411621
home decor,birdcage,0.5402357578277588
home decor,corsage,0.5391696691513062
home decor,dollhouse,0.5386913418769836
home decor,jigsaw puzzle,0.5383464694023132
home decor,knob,0.5368166565895081
home decor,loveseat,0.5349961519241333
home decor,place mat,0.532413125038147
home decor,candle,0.5293405652046204
home decor,gong,0.5276927947998047
home decor,locket,0.5275221467018127
home decor,rocking chair,0.5274651646614075
home decor,abacus,0.5272789001464844
home decor,bookshelf,0.5249205231666565
home decor,tiara,0.5238888263702393
home decor,pillow,0.5238762497901917
home decor,quill,0.523669958114624
home decor,hairpin,0.52316814661026
home decor,brooch,0.522871196269989
home decor,wind chimes,0.5225462913513184
home decor,hatbox,0.5214699506759644
home decor,ring,0.5208566188812256
home decor,chime,0.518631100654602
home decor,barrel,0.5184321403503418
home decor,marble,0.5181848406791687
home decor,cufflink,0.5174511075019836
home decor,bed,0.5170203447341919
home decor,potpourri,0.515909731388092
home decor,curtain,0.5104160308837891
home decor,terrarium,0.5103006362915039
home decor,crystal ball,0.508441686630249
home decor,perfume,0.5059911608695984
home decor,paintbrush,0.5039055943489075
home decor,trunk,0.5030534267425537
home decor,chessboard,0.5027012825012207
home decor,birdhouse,0.5021814703941345
home decor,handkerchief,0.5015658736228943
home decor,birdbath,0.5012680292129517
home decor,pinwheel,0.5009589791297913
home decor,step stool,0.5005261301994324
home decor,couch,0.5004358291625977
home decor,bench,0.4987083375453949
home decor,game,0.49823060631752014
home decor,headdress,0.49779167771339417
home decor,bell,0.49740949273109436
home decor,tambourine,0.49508047103881836
home decor,checkers,0.49482399225234985
home decor,desk,0.49477240443229675
home decor,statue,0.49473488330841064
home decor,mold,0.4942648410797119
home decor,pin,0.49415123462677
home decor,gyroscope,0.4936091899871826
home decor,lectern,0.49212896823883057
home decor,table,0.49154871702194214
home decor,clipboard,0.4914722740650177
home decor,piano,0.49111640453338623
home decor,coffee table,0.4910544753074646
home decor,stamp,0.49042630195617676
home decor,gavel,0.4902323782444
home decor,doorknocker,0.4894149601459503
home decor,bracelet,0.4859982132911682
home decor,chair,0.4859486520290375
home decor,mailbox,0.48295679688453674
home decor,figurine,0.48205944895744324
home decor,french horn,0.48175400495529175
home decor,coaster,0.4815753400325775
home decor,orchid,0.4811067283153534
home decor,furniture,0.4796745181083679
home decor,backgammon,0.47739988565444946
home decor,sarcophagus,0.4772920310497284
home decor,bank,0.47716453671455383
home decor,rocking horse,0.4770260155200958
home decor,wheel,0.4769642949104309
home decor,bunkbed,0.4767187535762787
home decor,scrabble,0.47647398710250854
home decor,hourglass,0.4755949378013611
home decor,weather vane,0.4748370051383972
home decor,doghouse,0.4745568335056305
home decor,shaker,0.4738140106201172
home decor,bagpipe,0.4730185866355896
home decor,sofa bed,0.4728160798549652
home decor,button,0.4725687801837921
home decor,inkwell,0.47236016392707825
home decor,briefcase,0.4723462164402008
home decor,jug,0.47205850481987
home decor,stove,0.47116169333457947
home decor,record player,0.47098538279533386
home decor,ottoman,0.4704510271549225
home decor,bonsai,0.4702337682247162
home decor,flask,0.47022441029548645
home decor,hinge,0.46965762972831726
home decor,sled,0.4689784049987793
home decor,pitcher,0.4686078727245331
home decor,watering can,0.46818992495536804
home decor,frame,0.4680080711841583
home decor,cymbal,0.4675673842430115
home decor,cello,0.4664360582828522
home decor,coop,0.46582281589508057
home decor,bongo,0.46556779742240906
home decor,rack,0.46552255749702454
home decor,belt buckle,0.4654407501220703
home decor,book,0.465387761592865
home decor,bottle,0.46534958481788635
home decor,playing card,0.46476447582244873
home decor,xylophone,0.4644198417663574
home decor,pocket watch,0.4634080231189728
home decor,flower,0.4631893038749695
home decor,necklace,0.4631304144859314
home decor,lampshade,0.4625014662742615
home decor,bathtub,0.4618198275566101
home decor,bowl,0.46179449558258057
home decor,hat,0.46103721857070923
home decor,washcloth,0.4608474373817444
home decor,ladle,0.45943719148635864
home decor,cabinet,0.45938536524772644
home decor,domino,0.4583262503147125
home decor,turntable,0.4582400619983673
home decor,bassinet,0.458217978477478
home decor,hot-air balloon,0.45760437846183777
home decor,bracket,0.4575916826725006
home decor,safety pin,0.4565684199333191
home decor,veil,0.4562205672264099
home decor,oilcan,0.45600229501724243
home decor,thermometer,0.45577776432037354
home decor,top hat,0.45566919445991516
home decor,magnifying glass,0.4556550085544586
home decor,dreidel,0.4553934633731842
home decor,canister,0.4549696445465088
home decor,closet,0.4549194872379303
home decor,sawhorse,0.45452117919921875
home decor,teapot,0.45410311222076416
home decor,mandolin,0.4536935091018677
home decor,shawl,0.45305532217025757
home decor,bassoon,0.4529244899749756
home decor,mop,0.4524313509464264
home decor,musical instrument,0.45191490650177
home decor,shuffleboard,0.4518261253833771
home decor,skewer,0.4512272775173187
home decor,doll,0.45093387365341187
home decor,makeup,0.44827258586883545
home decor,scarecrow,0.44823360443115234
home decor,daisy,0.4480527341365814
home decor,violin,0.44796425104141235
home decor,pinball,0.44773799180984497
home decor,blazer,0.4474993348121643
home decor,aquarium,0.4466419816017151
home decor,hot tub,0.44624993205070496
home decor,hammock,0.4452192187309265
home decor,filing cabinet,0.4451672434806824
home decor,tuba,0.44480159878730774
home decor,lightbulb,0.4445768892765045
home decor,poinsettia,0.4437767565250397
home decor,wheelbarrow,0.4430953562259674
home decor,envelope,0.44297918677330017
home decor,doorknob,0.4428357183933258
home decor,folder,0.4419606328010559
home decor,rose,0.44180184602737427
home decor,mattress,0.44171032309532166
home decor,hook,0.4416467249393463
home decor,tent,0.4415537416934967
home decor,earring,0.4414379894733429
home decor,trumpet,0.44143033027648926
home decor,radio,0.44128119945526123
home decor,bin,0.44023802876472473
home decor,jar,0.4398554861545563
home decor,balloon,0.4390985369682312
home decor,screen,0.43885722756385803
home decor,hose,0.438645601272583
home decor,drum,0.438385933637619
home decor,coffin,0.43740856647491455
home decor,guitar,0.4371508061885834
home decor,barrette,0.4359886646270752
home decor,banjo,0.43587714433670044
home decor,honeypot,0.43571603298187256
home decor,fan,0.435192734003067
home decor,washing machine,0.43516960740089417
home decor,rake,0.43498754501342773
home decor,sunflower,0.43492940068244934
home decor,chopsticks,0.434769868850708
home decor,clothespin,0.43405336141586304
home decor,projector,0.4337822496891022
home decor,velcro,0.43376144766807556
home decor,teddy bear,0.433379590511322
home decor,wagon,0.4333770275115967
home decor,carriage,0.43309304118156433
home decor,frisbee,0.4329325258731842
home decor,noisemaker,0.43293237686157227
home decor,catapult,0.4324049651622772
home decor,ruler,0.43233710527420044
home decor,belt,0.43232184648513794
home decor,keyboard,0.4323126971721649
home decor,wine bottle,0.43190237879753113
home decor,cot,0.4314112961292267
home decor,watch,0.43121224641799927
home decor,bandana,0.4310590624809265
home decor,mug,0.4308953881263733
home decor,wedge,0.43088963627815247
home decor,slot machine,0.43050357699394226
home decor,bamboo,0.430022656917572
home decor,marker,0.42969322204589844
home decor,patch,0.42949187755584717
home decor,trombone,0.42945584654808044
home decor,smoke alarm,0.42921119928359985
home decor,muff,0.4291529655456543
home decor,air mattress,0.4290117621421814
home decor,kite,0.4289756417274475
home decor,lock,0.4284025728702545
home decor,file,0.42805856466293335
home decor,crate,0.42784589529037476
home decor,tree,0.427285373210907
home decor,cloak,0.42687326669692993
home decor,accessory,0.4267960786819458
home decor,recliner,0.42637473344802856
home decor,buggy,0.425900399684906
home decor,gear,0.4256182014942169
home decor,grinder,0.4251956641674042
home decor,beachball,0.42507705092430115
home decor,ship,0.4250442087650299
home decor,saxophone,0.4247702658176422
home decor,flute,0.42473793029785156
home decor,dryer,0.4245769679546356
home decor,knot,0.4245416224002838
home decor,pantsuit,0.424460232257843
home decor,bush,0.4243757426738739
home decor,thumbtack,0.42435672879219055
home decor,tulip,0.42404159903526306
home decor,recorder,0.42300960421562195
home decor,sewing machine,0.42294934391975403
home decor,pocketknife,0.4228224456310272
home decor,pinecone,0.4223376214504242
home decor,yo-yo,0.4214814603328705
home decor,ladder,0.4212377667427063
home decor,petri dish,0.4210500419139862
home decor,headwear,0.4205764830112457
home decor,modem,0.42047032713890076
home decor,keg,0.41969218850135803
home decor,air conditioner,0.4187486171722412
home decor,poppy,0.41857659816741943
home decor,beaker,0.4184567928314209
home decor,suspenders,0.4180353283882141
home decor,fur coat,0.417710542678833
home decor,dandelion,0.417214572429657
home decor,tape measure,0.41717642545700073
